,momentum,beta,book_to_price,earnings_yield,liquidity,size,residual_volatility,non_linear_size,leverage,growth,银行,计算机,环保,商贸零售,电力设备,建筑装饰,建筑材料,农林牧渔,电子,交通运输,汽车,纺织服饰,医药生物,房地产,通信,公用事业,综合,机械设备,石油石化,有色金属,传媒,家用电器,基础化工,非银金融,社会服务,轻工制造,国防军工,美容护理,煤炭,食品饮料,钢铁
2020-01-03,-0.0020984245194414766,0.0018614175084140983,-0.0013115197161716221,-0.003063439387944262,0.0020537449256259424,-0.001464288219109448,0.0015685729346542636,0.0006851148973603093,-0.0011876146792583805,-0.0012435621785397658,-0.008523427309682977,0.007544848989853438,0.0012377083551850636,0.0016010514387262554,-0.0024214682052709742,-0.0019176669645070785,-0.009193030675377913,0.01787573383185438,0.0006056405727671229,-0.0033721875707316004,-0.0010087726882649748,-0.007553734917520211,-0.007407196530955185,-0.007994079343031398,0.00625171654407622,-0.00041543228590285746,0.0009745332243321252,-0.0014625702906635495,0.015191750423180023,0.004842938005069351,0.012438360998358036,-0.001472447065154632,-0.00031764454768397067,-0.005022696497592586,6.981655770332328e-05,-0.004107263763521602,0.0168843652894787,0.005270446162325868,-0.005020976308301036,-0.007617053311066451,-0.007079224082463581
2020-01-06,-0.0020907284914580054,0.003141720794303427,-0.0017177900007671963,-0.003285940951362853,0.003361373389877219,-0.0006997623750212582,0.00345813174440634,0.0014762084332134743,-0.0015009481571085866,-0.00014500566730749688,-0.014122870235381902,-0.0009094316830976122,-0.005293828782958669,-0.004293353578687893,0.009476816092304007,-0.0076062411388489,-0.00028899747961214333,0.007613475000467034,0.002388414490479528,-0.0089389654455825,0.008834434847093798,-0.004703660557656917,-0.008290548705838969,-0.009476866010468505,-0.0008218274651494035,0.002359258076432523,-0.0019386968889874966,0.0018495835087877252,0.026113520733945957,0.022014000604139626,0.009545492584008525,-0.0012385858223385234,-0.0018445258264628535,-0.008758467530736396,-0.005433047556555481,-0.0040368279813240895,0.008710773457990668,-0.006769854701909522,0.0008190149889075579,-0.011873627098083718,-0.008424351515631662
2020-01-07,0.0001843086515963605,0.0062219360292498395,-0.0011656386619915066,-0.0014074030264690828,0.0016319330686508067,-0.0005400984697407049,0.0010592866560413146,0.001350660683589918,-0.0019752572545248346,-0.0017108801406370854,-0.006422495945035189,0.012984903295460147,0.0017753872201164678,-0.000214914262156301,0.0021191675433639835,-0.0014807349631045619,-0.0029012933860234056,0.0031603822063179157,-0.005114809225332816,-0.0035418399774973844,0.0017376934865994383,-0.003291176962761416,0.0012002609266866522,-0.0033204377521340693,-0.0022221185499585864,-0.00630851042697592,0.003832450724707799,-0.0007518175465259542,-0.025807787352089575,-0.012789586908378059,0.02462202351793053,0.0015364820390072137,-0.004238905592968218,-0.0023925398985366053,0.0050035251701192945,-0.0014041159571235202,-0.009534373284160375,-0.005400675369346752,0.011662442847415279,-0.001232620982213962,0.006643945828044236
2020-01-08,-0.001223503206486445,-0.008967561814076505,-0.0017695156993965029,-0.0029151285790080654,-0.00269895599936095,0.0007516191250772948,0.004439886742204741,0.0010459639811687834,0.00028500292097810847,-0.0006628201224206954,-0.004209946460091459,-0.00440949185736791,-0.00320931216294757,-0.005374795694740517,0.011536160306738107,-0.0008817811714525218,-0.00261081145272646,-0.008559702848394432,0.000226615380909209,-0.004963147556528814,0.024624634569666064,-0.005736576281964018,-0.0021361570326512715,-0.006722398514411606,-0.010963457440291872,1.9445302938487515e-05,-0.002392981841128668,0.0029100760655541807,0.015399609420034556,0.010735934581641541,-0.01604796274108918,0.0025719176318338005,-0.003278506005617962,-0.01822569562034981,-0.004443533092289086,-0.006222107620986575,0.03704804805305671,-0.012001842429171317,-0.010785733478885952,-0.0013575311549823535,-0.008932960580395884
2020-01-09,0.003237983642087878,0.009249657684170921,-0.0030589692385946192,-0.002377112010975756,0.0025626338993037204,-0.00028618653131917145,-0.0017710902292518134,0.0003674206610666105,-0.0029135918604686487,-0.00016703853827744478,-0.009630336355115284,0.018419088522646388,0.00035254256677287767,0.0009681167540481565,-0.001399547797481433,-0.0009972887591221682,5.66760835710298e-05,-0.004951327831340974,0.0065540435978562895,-2.625076188416883e-05,-0.006901247497994582,-0.004321497134296036,0.0080577875389003,-0.0008336831146691134,0.014448452938503073,-0.00667283032950667,-0.009360703077482074,0.0012016128025113075,-0.03016117321097548,-0.01739570120956882,0.0010043579737681902,0.0005763785250545769,-0.0004667297566383262,-0.001356442763436629,0.0005627528109222653,0.0022591553960140186,-0.028775273144626624,0.014525582364333193,-0.009757492813001156,0.0015932943881502054,-0.007717064315779465
2020-01-10,0.003375121027638224,-0.0008589873030241404,-0.002074054263710802,0.0005411651776807337,-0.0016300218402071364,0.001171960587209491,-0.0006086291132769659,0.0007754831285724623,-0.0016760485944281444,0.0008189867839520697,0.00204769212767509,-0.001595602586454745,0.00440702233030329,0.015458941516962883,-0.00552649663971903,0.0030950205861557194,0.010692464522473277,-0.004856856202729734,0.005464077907997947,0.002116819212280635,-0.00853742561459027,-6.909692135022554e-05,0.006667165733374574,-0.0008602990119681394,0.0017648683076239037,-0.005709558604716079,0.00247822250481736,-0.003125110427918617,-0.010579539415738292,-0.007849335921000915,-0.010859160248143188,0.0005951781211477466,0.0010281092805205238,-0.0013274982742177434,0.0040912396797729515,0.007206658411880946,-0.011306473310782392,0.0017865252175649873,-0.004084130449217466,0.013817307146848966,-0.004162057656401786
2020-01-13,0.005674371463131196,0.006796673061203233,-0.0036954096674431873,-0.002516209494744938,0.002916727878798226,0.002849678367445934,0.0011892725026905343,0.0029454635735090594,-0.0032627195427874793,0.0015871007529109922,-0.005953188304544038,0.005017005659074662,-0.0010583143035946061,-0.005850596160892307,0.004167526916586326,-0.005264384188182875,-0.002745228516280881,-0.007101271072217565,0.01863541179235981,-0.008840155345379942,0.007035299152076319,-0.004292273506508329,-0.0021238012537684384,-0.004404883688937353,0.0013269886937273105,-0.005440309179572048,-0.009292847623873468,-0.00198970749803855,-0.004118348304419107,-0.0010442603361731527,0.000958247453388277,-0.002932161549375652,0.0011991110082477496,-0.0002839533668804435,-0.0038817279007847512,-0.0023759319921224857,0.00017469732944567403,-0.0045105596458746315,-0.008412175958213485,-0.0032114536915599542,-0.004262413048877238
2020-01-14,-0.0028333333100101564,-0.002230228138550465,0.0009192105176003054,0.0012671445991753764,-0.001412838937713694,-0.0008971244935897932,0.0005502122638157081,0.00022752287495746279,0.0012782111858966314,0.0010272384284783123,-0.004625854967139027,-0.008770079669186802,0.02050598174758333,-0.004021172664954584,0.0031267217163476638,0.0016238196286698103,-0.001572376891547717,0.006428443085310564,-0.007821049293259281,1.9374356199534398e-05,-0.0011359872505769986,0.0019280939636938657,0.0013276523407888226,0.002426104136252497,-0.009905715509347799,0.0009032436443324309,0.00690774783853461,0.001006844527291077,0.002722816381205208,0.012635449079521915,0.0043997035334936005,0.0025417827476125424,0.0024976796907845776,-0.003899691808176564,0.00032689812742032586,-0.0017437891172890551,-0.005662557789986065,-0.00784441165111873,0.0004224878923575498,-0.009489377888964283,0.006057666148624591
2020-01-15,0.005565933427495386,0.002181901434659518,-0.004002416351467643,-0.0021677390623092087,0.0009304706767610908,0.0024222848758090236,0.0013315266653509338,0.0026133760812202217,-0.0032283622319346206,-7.252092778795951e-06,-0.0037638647145641973,0.015050672278390013,-0.0029021154271629923,0.00012623267343183554,-0.004914926713068329,-0.0009129589218948448,-0.0024563622928654304,-0.010432091258146144,0.010007685589966932,-0.0023537446286547663,-0.006525036904578514,0.0009441922831673453,0.0016894053543409983,-0.004803528726470336,0.007586183217570765,-0.003728770895046507,-0.0013468776513639996,-0.002312841756719294,-0.006472156198796737,-0.009838203516330926,0.001118935036008562,0.002572256027286572,-0.0012602309709024513,0.0002779256352282594,-0.0011706368679931614,0.006140376846676512,-0.0020197008967923424,-0.002805699801002393,-0.009123027117690242,0.00263939092402364,-0.005135762224346973
2020-01-16,0.004291124186892837,-0.00014252951221334717,-0.0036034292087549053,-0.002997728763456308,2.9693669366941976e-05,0.0029440482562266687,0.0028249600764046917,0.002562885183722997,-0.002363513048943983,0.0014492671160721206,-0.0028884754285797005,0.005291739107297242,-0.0037507498658071415,-0.0019320169716230918,-0.003283785795738192,-0.001904554408719965,-0.00045692795000469035,-0.0013155645243545285,0.010190193409367772,-0.002443890007604874,0.00268887968737351,0.0013650157634190077,0.000476215368587781,-0.0018459346913478488,-0.0035459059132052608,-0.00599872960265103,-0.0037146245934148595,0.0009529766714048897,-0.0037260895894886334,-0.0022675432033027825,-0.004444420591841715,-0.003301629045002129,-0.0011929288829428321,-0.004159181720120149,-0.0014777810103557601,-0.005754884396644431,0.009582750957585465,0.013735879470677573,-0.001698005282478177,0.0033101666736059395,-0.0039060669390261656
